"WEC Canvass Reporting System",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"2016 General Election",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"PRESIDENT OF THE UNITED STATES",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","LIB",,"WGR","IND","IND","IND","IND","IND","IND","IND","IND","IND","IND","IND",
,"VILLAGE OF HOWARD Wards 15-16","1,476",908,490,5,49,,12,0,0,0,0,0,0,0,0,0,0,0,12
,"VILLAGE OF PULASKI Wards 1-3,6","1,525",912,523,6,56,,15,3,2,0,3,1,0,0,0,0,0,0,4
,"VILLAGE OF SUAMICO Ward 1-4","3,352","2,234",959,11,98,,13,0,1,0,9,0,0,0,0,0,0,0,27
,"VILLAGE OF SUAMICO Ward 5-8","3,980","2,515","1,241",10,161,,19,1,0,0,8,2,0,0,0,0,0,0,23
,"VILLAGE OF WRIGHTSTOWN Wards 1-3","1,374",836,448,5,61,,12,1,1,0,6,0,0,0,0,0,0,0,4
,"CITY OF DE PERE Wards 1-4","3,565","1,700","1,650",9,136,,30,2,0,0,4,1,0,0,0,2,0,0,31
,"CITY OF DE PERE Ward 5",231,88,131,1,6,,3,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF DE PERE Wards 6-8","2,511","1,189","1,113",13,120,,36,1,2,0,8,0,0,0,0,0,0,0,29
,"CITY OF DE PERE Wards 9,18",645,312,285,1,25,,9,0,0,0,5,0,0,0,0,0,0,0,8
,"CITY OF DE PERE Wards 10-12","3,070","1,485","1,348",12,143,,37,2,1,0,12,1,0,0,0,0,0,0,29
,"CITY OF DE PERE Wards 13-15","3,220","1,712","1,292",12,136,,22,0,8,0,11,0,0,0,0,0,0,0,27
,"CITY OF DE PERE Wards 16-17",7,5,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF GREEN BAY Ward 1",14,8,5,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF GREEN BAY Ward 2","1,226",641,511,3,45,,8,0,0,0,4,0,0,0,0,0,0,0,14
,"CITY OF GREEN BAY Ward 3","1,769",675,900,8,106,,49,1,3,0,4,0,0,0,0,0,0,0,23
,"CITY OF GREEN BAY Ward 4","1,857",963,760,8,77,,18,0,2,0,1,0,0,0,0,0,0,0,28
,"CITY OF GREEN BAY Ward 5",746,390,311,4,28,,2,0,0,0,2,0,0,0,0,0,0,0,9
,"CITY OF GREEN BAY Ward 6","1,652",907,649,9,60,,11,0,1,0,2,0,0,0,0,0,0,0,13
,"CITY OF GREEN BAY Ward 7",970,526,389,0,31,,11,1,1,0,2,0,0,0,0,0,0,0,9
,"CITY OF GREEN BAY Ward 8","1,600",811,711,2,42,,12,0,0,0,5,0,0,0,0,0,0,0,17
,"CITY OF GREEN BAY Ward 9",638,258,319,3,35,,11,1,0,0,3,0,0,0,0,0,0,0,8
,"CITY OF GREEN BAY Ward 10",692,297,355,3,23,,6,0,2,0,3,0,0,0,0,0,0,0,3
,"CITY OF GREEN BAY Ward 11",711,359,295,3,40,,7,0,1,0,3,0,0,0,0,0,0,0,3
,"CITY OF GREEN BAY Ward 12",613,269,307,3,22,,8,0,0,0,1,0,0,0,0,0,0,0,3
,"CITY OF GREEN BAY Ward 13",724,218,428,1,38,,28,2,1,0,0,0,0,0,0,0,0,0,8
,"CITY OF GREEN BAY Ward 14",728,303,372,3,37,,7,0,0,0,0,0,0,0,0,0,0,0,6
,"CITY OF GREEN BAY Ward 15","1,167",432,620,7,70,,24,1,0,0,1,0,0,0,0,0,0,0,12
,"CITY OF GREEN BAY Ward 16","1,002",304,606,7,39,,31,0,1,0,3,0,0,0,0,0,0,0,11
,"CITY OF GREEN BAY Ward 17",883,302,537,5,22,,11,0,0,0,1,2,0,0,0,0,0,0,3
,"CITY OF GREEN BAY Ward 18",862,361,447,3,32,,7,0,1,0,3,0,0,0,0,0,0,0,8
,"CITY OF GREEN BAY Ward 19",679,269,356,2,37,,10,0,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF GREEN BAY Ward 20",753,281,416,2,33,,8,1,0,0,2,0,0,0,0,0,0,0,10
,"CITY OF GREEN BAY Ward 21",652,207,403,2,26,,9,0,1,0,0,0,0,0,0,0,0,0,4
,"CITY OF GREEN BAY Ward 22",359,134,193,0,20,,6,1,0,0,1,0,0,0,0,0,0,0,4
,"CITY OF GREEN BAY Ward 23",688,269,360,3,35,,13,0,2,0,0,0,0,0,0,0,0,0,6
,"CITY OF GREEN BAY Ward 24",870,328,486,5,34,,8,2,0,0,0,0,0,0,0,0,0,0,7
,"CITY OF GREEN BAY Ward 25",796,347,369,8,46,,13,1,0,0,1,0,0,0,0,0,0,0,11
,"CITY OF GREEN BAY Ward 26",753,222,453,4,42,,23,0,0,0,1,0,0,0,0,2,0,0,6
,"CITY OF GREEN BAY Ward 27",300,77,200,0,4,,10,0,0,0,0,1,0,0,0,0,0,0,8
,"CITY OF GREEN BAY Ward 28",839,283,478,5,32,,25,1,1,0,0,0,0,0,0,0,0,0,14
,"CITY OF GREEN BAY Ward 29","1,128",508,515,6,59,,22,1,2,0,2,0,0,0,0,0,0,0,13
,"CITY OF GREEN BAY Ward 30",980,311,590,5,40,,18,4,0,0,0,0,0,0,0,0,0,0,12
,"CITY OF GREEN BAY Ward 31","1,048",465,497,4,51,,15,0,2,0,4,0,0,0,0,0,0,0,10
,"CITY OF GREEN BAY Ward 32",942,400,469,3,43,,14,0,0,0,1,0,0,0,0,0,0,0,12
,"CITY OF GREEN BAY Ward 33",623,275,300,4,31,,6,1,1,0,1,0,0,0,0,0,0,0,4
,"CITY OF GREEN BAY Ward 34","1,236",598,552,2,58,,13,0,0,0,1,0,0,0,0,0,0,0,12
,"CITY OF GREEN BAY Ward 35",826,421,359,2,28,,10,0,1,0,1,0,0,0,0,0,0,0,4
,"CITY OF GREEN BAY Ward 36",505,208,257,2,15,,13,1,0,0,1,0,0,0,0,0,0,0,8
,"CITY OF GREEN BAY Ward 37",861,418,394,4,38,,4,0,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF GREEN BAY Ward 38","1,083",486,526,5,35,,25,1,0,0,1,0,0,0,0,0,0,0,4
,"CITY OF GREEN BAY Ward 39","1,280",591,587,7,51,,27,0,0,0,3,0,0,0,0,0,0,0,14
,"CITY OF GREEN BAY Ward 40",833,374,407,3,34,,8,0,0,0,0,0,0,0,0,0,0,0,7
,"CITY OF GREEN BAY Ward 41",445,231,185,3,16,,4,0,0,0,5,0,0,0,0,0,0,0,1
,"CITY OF GREEN BAY Ward 42",701,307,349,5,23,,7,1,0,0,0,0,0,0,0,0,0,0,9
,"CITY OF GREEN BAY Ward 43","1,200",608,527,5,31,,16,0,0,0,3,0,0,0,0,0,0,0,10
,"CITY OF GREEN BAY Ward 44","1,563",781,682,5,51,,21,1,1,0,0,0,0,0,0,0,0,0,21
,"CITY OF GREEN BAY Ward 45","1,770","1,005",675,2,48,,11,0,0,0,7,0,0,0,0,0,0,0,22
,"CITY OF GREEN BAY Ward 46","1,294",576,627,6,50,,18,0,1,0,4,0,0,0,0,0,0,0,12
,"CITY OF GREEN BAY Ward 47","1,496",822,569,3,58,,20,0,0,0,6,4,0,0,0,0,0,0,14
,"County Totals:","129,011","67,210","53,382",475,"4,985",,"1,371",54,65,0,293,18,0,1,0,4,0,0,"1,153"
"BUFFALO ","TOWN OF ALMA Ward 1",182,95,78,0,5,,3,0,1,0,0,0,0,0,0,0,0,0,0
,"TOWN OF BELVIDERE Ward 1",254,149,94,1,6,,1,0,0,0,0,0,0,0,0,0,0,0,3
,"TOWN OF BUFFALO Ward 1",397,224,150,3,9,,6,0,1,0,1,0,0,0,0,0,0,0,3
,"TOWN OF CANTON Ward 1",141,80,53,0,3,,4,1,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF CROSS Ward 1",202,132,58,0,7,,4,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF DOVER Ward 1",221,128,84,2,3,,2,0,0,0,1,0,0,0,0,0,0,0,1
